Encrypt Time (ms),Inbuf Time (ms),Ratio
0.047,0.18,3.829787234042553
0.043,0.109,2.5348837209302326
0.07,0.162,2.314285714285714
0.006,0.025,4.166666666666667
0.046,0.119,2.5869565217391304
0.011,0.053,4.818181818181818
0.008,0.061,7.625
0.013,0.039,3.0
0.041,0.26,6.341463414634147
0.046,0.108,2.347826086956522
0.007,0.051,7.285714285714285
0.067,0.09,1.3432835820895521
0.029,0.096,3.310344827586207
0.029,0.113,3.896551724137931
0.01,0.081,8.1
0.046,0.156,3.391304347826087
0.054000000000000006,0.155,2.87037037037037
0.063,0.09,1.4285714285714286
0.004,0.019,4.75
0.041,0.076,1.8536585365853657
0.004,0.017,4.25
0.048,0.111,2.3125
0.009,0.072,8.0
0.013999999999999999,0.058,4.142857142857143
0.005,0.022,4.3999999999999995
0.01,0.086,8.6
0.041,0.125,3.048780487804878
0.018,0.055,3.055555555555556
0.008,0.044,5.5
0.003,0.012,4.0
0.016,0.06,3.75
0.009,0.053,5.888888888888889
0.030000000000000002,0.212,7.0666666666666655
0.057999999999999996,0.127,2.189655172413793
0.003,0.016,5.333333333333333
0.034,0.093,2.7352941176470584
0.014,0.098,7.0
0.009,0.063,7.000000000000001
0.039,0.118,3.0256410256410255
0.005,0.023,4.6
0.003,0.028,9.333333333333334
0.06,0.142,2.3666666666666667
0.014,0.075,5.357142857142857
0.043,0.053,1.2325581395348837
0.023,0.127,5.521739130434783
0.012,0.05,4.166666666666667
0.044,0.11,2.5
0.031,0.083,2.67741935483871
0.017,0.048,2.8235294117647056
0.016,0.125,7.8125
0.004,0.02,5.0
0.017,0.146,8.588235294117647
0.008,0.062,7.75
0.019,0.148,7.7894736842105265
0.019,0.061,3.210526315789474
0.004,0.017,4.25
0.006,0.057,9.5
0.052000000000000005,0.081,1.5576923076923077
0.013,0.055,4.230769230769231
0.004,0.026,6.5
0.026,0.113,4.346153846153847
0.012,0.051,4.25
0.021,0.082,3.9047619047619047
0.023,0.073,3.1739130434782608
0.009,0.043,4.777777777777778
0.02,0.081,4.05
0.043,0.163,3.790697674418605
0.006,0.048,8.0
0.021,0.074,3.5238095238095233
0.008,0.043,5.374999999999999
0.005,0.022,4.3999999999999995
0.018,0.099,5.500000000000001
0.026,0.2,7.692307692307693
0.034,0.166,4.88235294117647
0.021,0.134,6.380952380952381
0.035,0.085,2.4285714285714284
0.044,0.102,2.3181818181818183
0.033,0.175,5.303030303030303
0.011,0.06,5.454545454545455
0.036,0.091,2.5277777777777777
0.019,0.123,6.473684210526316
0.033,0.088,2.6666666666666665
0.054,0.158,2.925925925925926
0.017,0.084,4.9411764705882355
0.009,0.066,7.333333333333334
0.007,0.06,8.571428571428571
0.024,0.102,4.25
0.003,0.015,5.0
0.015,0.119,7.933333333333334
0.016,0.067,4.1875
0.018,0.115,6.388888888888889
0.031,0.126,4.064516129032258
0.016,0.129,8.0625
0.054,0.159,2.9444444444444446
0.018,0.062,3.4444444444444446
0.035,0.093,2.657142857142857
0.041,0.121,2.951219512195122
0.02,0.114,5.7
0.018,0.082,4.555555555555556
0.007,0.065,9.285714285714286
0.008,0.048,6.0
0.021,0.14,6.666666666666667
0.015,0.127,8.466666666666667
0.004,0.02,5.0
0.026,0.121,4.653846153846154
0.069,0.239,3.4637681159420284
0.067,0.112,1.671641791044776
0.064,0.146,2.28125
0.049,0.128,2.6122448979591835
0.03,0.121,4.033333333333333
0.01,0.082,8.2
0.014,0.123,8.785714285714285
0.041,0.09,2.195121951219512
0.031,0.123,3.967741935483871
0.023,0.089,3.869565217391304
0.004,0.02,5.0
0.017,0.09,5.294117647058823
0.062,0.118,1.9032258064516128
0.008,0.037,4.625
0.019,0.101,5.315789473684211
0.033,0.114,3.4545454545454546
0.012,0.116,9.666666666666666
0.048,0.115,2.3958333333333335
0.036000000000000004,0.17,4.722222222222222
0.019,0.112,5.894736842105264
0.022,0.057,2.5909090909090913
0.014,0.075,5.357142857142857
0.041,0.106,2.585365853658536
0.029,0.119,4.1034482758620685
0.019,0.07,3.68421052631579
0.047,0.134,2.8510638297872344
0.004,0.02,5.0
0.049,0.11,2.2448979591836733
0.014,0.066,4.714285714285714
0.02,0.109,5.45
0.024,0.093,3.875
0.042,0.202,4.809523809523809
0.025,0.092,3.6799999999999997
0.033,0.101,3.0606060606060606
0.019,0.109,5.736842105263158
0.021,0.074,3.5238095238095233
0.006,0.031,5.166666666666667
0.035,0.115,3.2857142857142856
0.017,0.066,3.8823529411764706
0.016,0.114,7.125
0.022,0.082,3.7272727272727275
0.006,0.053,8.833333333333332
0.02,0.168,8.4
0.056,0.162,2.892857142857143
0.024,0.118,4.916666666666666
0.02,0.082,4.1
0.033,0.147,4.454545454545454
0.072,0.25,3.4722222222222223
0.064,0.126,1.96875
0.038,0.106,2.789473684210526
0.04,0.133,3.325
