Encrypt Time (ms),Inbuf Time (ms),Ratio
0.013,0.058,4.461538461538462
0.02,0.095,4.75
0.022,0.081,3.681818181818182
0.002,0.012,6.0
0.018,0.08,4.444444444444445
0.01,0.051,5.1
0.008,0.05,6.25
0.004,0.018,4.5
0.077,0.257,3.337662337662338
0.016,0.067,4.1875
0.006,0.025,4.166666666666667
0.021,0.067,3.1904761904761907
0.012,0.046,3.833333333333333
0.015,0.053,3.533333333333333
0.006,0.026,4.333333333333333
0.003,0.012,4.0
0.104,0.368,3.5384615384615388
0.025,0.083,3.32
0.017,0.054,3.176470588235294
0.005,0.028,5.6
0.008,0.039,4.875
0.003,0.018,5.999999999999999
0.04,0.245,6.125
0.01,0.05,5.0
0.005,0.031,6.2
0.007,0.043,6.142857142857142
0.014,0.036,2.571428571428571
0.045,0.096,2.1333333333333333
0.015,0.067,4.466666666666667
0.015,0.053,3.533333333333333
0.014,0.059,4.214285714285714
0.014,0.057,4.071428571428571
0.002,0.013,6.5
0.063,0.222,3.5238095238095237
0.013,0.071,5.461538461538462
0.018,0.067,3.7222222222222228
0.002,0.011,5.5
0.009,0.039,4.333333333333334
0.004,0.022,5.5
0.033,0.162,4.909090909090909
0.016,0.096,6.0
0.005,0.046,9.2
0.035,0.082,2.3428571428571425
0.006,0.028,4.666666666666667
0.003,0.019,6.333333333333333
0.014,0.083,5.928571428571429
0.022,0.117,5.318181818181819
0.018,0.066,3.666666666666667
0.003,0.018,5.999999999999999
0.005,0.012,2.4
0.015,0.091,6.066666666666666
0.005,0.024,4.8
0.002,0.012,6.0
0.031,0.144,4.64516129032258
0.006,0.025,4.166666666666667
0.023,0.068,2.956521739130435
0.037,0.123,3.3243243243243246
0.011,0.056,5.090909090909092
0.009,0.038,4.222222222222222
0.004,0.024,6.0
0.004,0.02,5.0
0.016,0.118,7.374999999999999
0.025,0.088,3.5199999999999996
0.009,0.047,5.222222222222222
0.023,0.084,3.6521739130434785
0.007,0.034,4.857142857142858
0.013,0.08,6.153846153846154
0.019,0.071,3.7368421052631575
0.012,0.058,4.833333333333333
0.013,0.085,6.538461538461539
0.008,0.035,4.375
0.012,0.037,3.083333333333333
0.009,0.04,4.444444444444445
0.02,0.061,3.05
0.003,0.02,6.666666666666667
0.017,0.083,4.88235294117647
0.007,0.035,5.0
0.021,0.178,8.476190476190474
0.025,0.116,4.64
0.006,0.024,4.0
0.014,0.07,5.0
0.014,0.063,4.5
0.032,0.147,4.59375
0.019,0.107,5.631578947368421
0.02,0.085,4.25
0.014,0.061,4.357142857142857
0.016,0.065,4.0625
0.015,0.066,4.4
0.006,0.021,3.5
0.008,0.036,4.5
0.017,0.058,3.411764705882353
0.016,0.107,6.6875
0.015,0.054,3.6
0.005,0.021,4.2
0.002,0.011,5.5
0.018,0.077,4.277777777777778
0.006,0.03,5.0
0.02,0.104,5.199999999999999
0.012,0.063,5.25
0.006,0.03,5.0
0.039,0.162,4.153846153846154
0.025,0.107,4.279999999999999
0.019,0.105,5.526315789473684
0.021,0.108,5.142857142857142
0.017,0.07,4.11764705882353
